config_name,read,bitstring,energy,is_optimum,feasible,assignment,processing,workload,ergonomic,safety,original_cost,assignment_penalty,skill_penalty,robot_utilization_penalty,total_penalty,total_cost
steps_100_T10_to_001,84,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,85,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_100_T10_to_001,86,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,87,001100010100,38.400000000000006,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",22,6.0,8.399999999999999,2.0,38.4,0,0,0,0,38.4
steps_100_T10_to_001,88,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_100_T10_to_001,89,001100100100,46.5,False,True,"{'O11': ['M'], 'O12': ['H'], 'O21': ['H'], 'O22': ['H']}",23,8.0,10.5,0.0,41.5,0,0,5,5,46.5
steps_100_T10_to_001,90,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_100_T10_to_001,91,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_100_T10_to_001,92,100100010100,40.300000000000004,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",21,7.5,9.799999999999999,2.0,40.3,0,0,0,0,40.3
steps_100_T10_to_001,93,010100010100,45.400000000000006,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['R'], 'O22': ['H']}",23,6.0,8.399999999999999,3.0,40.4,0,0,5,5,45.4
steps_100_T10_to_001,94,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_100_T10_to_001,95,010001010100,33.3,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",20,2.5,2.8,3.0,28.3,0,0,5,5,33.3
steps_100_T10_to_001,96,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_100_T10_to_001,97,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_100_T10_to_001,98,010001010100,33.3,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",20,2.5,2.8,3.0,28.3,0,0,5,5,33.3
steps_100_T10_to_001,99,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_500_T10_to_001,0,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_500_T10_to_001,1,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_500_T10_to_001,2,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_500_T10_to_001,3,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_500_T10_to_001,4,100001100001,28.0,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",16,3.5,3.5,0.0,23.0,0,0,5,5,28.0
steps_500_T10_to_001,5,010001010100,33.3,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",20,2.5,2.8,3.0,28.3,0,0,5,5,33.3
steps_500_T10_to_001,6,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_500_T10_to_001,7,001001100100,34.400000000000006,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
steps_500_T10_to_001,8,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_500_T10_to_001,9,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_500_T10_to_001,10,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_500_T10_to_001,11,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_500_T10_to_001,12,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_500_T10_to_001,13,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_500_T10_to_001,14,010100100001,35.2,False,True,"{'O11': ['R'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",21,5.5,7.699999999999999,1.0,35.2,0,0,0,0,35.2
steps_500_T10_to_001,15,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_500_T10_to_001,16,100001010100,28.199999999999996,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",18,4.0,4.199999999999999,2.0,28.2,0,0,0,0,28.2
steps_500_T10_to_001,17,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_500_T10_to_001,18,100100100001,40.1,False,True,"{'O11': ['H'], 'O12': ['H'], 'O21': ['H'], 'O22': ['M']}",19,7.0,9.1,0.0,35.1,0,0,5,5,40.1
steps_500_T10_to_001,19,100001010001,19.900000000000006,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",15,1.5,1.4,2.0,19.9,0,0,0,0,19.9
steps_500_T10_to_001,20,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_500_T10_to_001,21,001001010100,26.299999999999997,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['H']}",19,2.5,2.8,2.0,26.3,0,0,0,0,26.3
steps_500_T10_to_001,22,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_500_T10_to_001,23,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_500_T10_to_001,24,100001100100,36.3,False,True,"{'O11': ['H'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",19,6.0,6.3,0.0,31.3,0,0,5,5,36.3
steps_500_T10_to_001,25,010001010001,25.0,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",17,0.0,0.0,3.0,20.0,0,0,5,5,25.0
steps_500_T10_to_001,26,010001100001,23.1,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",18,2.0,2.0999999999999996,1.0,23.1,0,0,0,0,23.1
steps_500_T10_to_001,27,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
steps_500_T10_to_001,28,010001100100,31.4,False,True,"{'O11': ['R'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",21,4.5,4.8999999999999995,1.0,31.4,0,0,0,0,31.4
steps_500_T10_to_001,29,001001100001,26.1,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['M']}",17,2.0,2.0999999999999996,0.0,21.1,0,0,5,5,26.1
steps_500_T10_to_001,30,001001100100,34.400000000000006,False,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['H'], 'O22': ['H']}",20,4.5,4.8999999999999995,0.0,29.4,0,0,5,5,34.4
steps_500_T10_to_001,31,001001010001,18.0,True,True,"{'O11': ['M'], 'O12': ['M'], 'O21': ['R'], 'O22': ['M']}",16,0.0,0.0,2.0,18.0,0,0,0,0,18.0
